book_info,book_name,book_rate,book_desc,book_url,book_comments
幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,"
                向左走·向右走

                
              ",8.4,两条平行线相遇的可能,https://book.douban.com/subject/1066462/,"(
                    69727人评价
                )"
[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,"
                月亮和六便士

                
              ",8.9,有多少人会经历顿悟，就有更少的人甘愿自我放逐,https://book.douban.com/subject/1858513/,"(
                    65717人评价
                )"
霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,"
                穆斯林的葬礼

                
              ",8.3,时代烙印鲜明的民族史诗,https://book.douban.com/subject/1082334/,"(
                    67198人评价
                )"
郭敬明 / 长江文艺出版社 / 2007-5 / 24.00元,"
                悲伤逆流成河

                
              ",6.3,少年不识愁滋味,https://book.douban.com/subject/2062200/,"(
                    82551人评价
                )"
张嘉佳 / 湖南文艺出版社 / 2013-11-1 / 36.00元,"
                从你的全世界路过

                
                  ",7.1,戳中了现代人的某些柔软之处,https://book.douban.com/subject/25747921/,"(
                    74040人评价
                )"
金庸 / 三联书店 / 1994-5 / 96.0,"
                天龙八部

                
              ",9.1,“有情皆孽，无人不冤”,https://book.douban.com/subject/1255625/,"(
                    54672人评价
                )"
韩寒 / 中国青年出版社 / 2004-8 / 20.00元,"
                长安乱

                
              ",7.4,韩少也会借古喻今了,https://book.douban.com/subject/1049219/,"(
                    72527人评价
                )"
J.K.Rowling / Arthur A. Levine Books / 2007-7-21 / 34.99美元,"
                Harry Potter and the Deathly Hallows

                
              ",8.9,final episode,https://book.douban.com/subject/1975797/,"(
                    6819人评价
                )"
余华 / 作家出版社 / 2012-8-1 / 20.00元,"
                活着

                
              ",9.3,生的苦难与伟大,https://book.douban.com/subject/4913064/,"(
                    59203人评价
                )"
[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00,"
                恶意

                
              ",8.4,无缘由的恨，冰冷彻骨,https://book.douban.com/subject/3646172/,"(
                    63481人评价
                )"
[日]东野圭吾 / 赵峻 / 南海出版公司 / 2010-1-1 / 20.00元,"
                放学后

                
              ",7.6,东野圭吾处女作,https://book.douban.com/subject/4074636/,"(
                    69616人评价
                )"
[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元,"
                哈利·波特与混血王子

                
              ",8.8,感情线纷乱的一部。再见邓布利多,https://book.douban.com/subject/1432596/,"(
                    60793人评价
                )"
[日] 青山七惠 / 竺家荣 / 上海译文出版社 / 2007-9 / 15.00元,"
                一个人的好天气

                
              ",7.6,冬日暖阳的温煦感,https://book.douban.com/subject/2250587/,"(
                    68878人评价
                )"
（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80,"
                苏菲的世界

                
              ",8.5,最平易近人的哲学入门,https://book.douban.com/subject/1045818/,"(
                    60639人评价
                )"
郭敬明 / 春风文艺出版社 / 2005-2 / 24.00元,"
                1995-2005夏至未至

                
              ",7.4,当青春遁入歧途,https://book.douban.com/subject/1049189/,"(
                    67427人评价
                )"
余华 / 南海出版公司 / 1998-9 / 16.80元,"
                许三观卖血记

                
              ",8.7,余华的悲凉，都在那一碗炒猪肝里了,https://book.douban.com/subject/1029791/,"(
                    58872人评价
                )"
南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,"
                盗墓笔记

                
                  ",8.4,想象奇诡的大型RPG游戏,https://book.douban.com/subject/1948901/,"(
                    59485人评价
                )"
三毛 / 皇冠出版社 / 1976 / 160 TWD,"
                撒哈拉的故事

                
              ",9.0,关于漂泊的一切,https://book.douban.com/subject/1361264/,"(
                    55919人评价
                )"
[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元,"
                哈利·波特与凤凰社

                
              ",8.7,暴脾气的哈利,https://book.douban.com/subject/1013129/,"(
                    57347人评价
                )"
亦舒 / 新世界出版社 / 2007-2 / 22.00元,"
                喜宝

                
              ",8.1,爱情才是终极的奢侈品,https://book.douban.com/subject/2022979/,"(
                    42019人评价
                )"
唐七公子 / 沈阳出版社 / 2009-1 / 26.80,"
                三生三世 十里桃花

                
              ",8.1,大风刮过有话要说,https://book.douban.com/subject/3426869/,"(
                    62527人评价
                )"
[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,"
                海边的卡夫卡

                
              ",8.1,背负诅咒的少年，平行世界中的奥德赛,https://book.douban.com/subject/1059419/,"(
                    59957人评价
                )"
余秋雨 / 东方出版中心 / 2001-4 / 22.00元,"
                文化苦旅

                
              ",7.8,“历史文化散文”,https://book.douban.com/subject/1050339/,"(
                    61867人评价
                )"
大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,"
                基督山伯爵

                
              ",8.9,完美的复仇，金庸用法语写作应该就是这样,https://book.douban.com/subject/1085860/,"(
                    49670人评价
                )"
[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,"
                三国演义（全二册）

                
              ",9.2,是非成败转头空,https://book.douban.com/subject/1019568/,"(
                    53576人评价
                )"
[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,"
                窗边的小豆豆

                
              ",8.7,真正懂孩子的教育经,https://book.douban.com/subject/1007914/,"(
                    56078人评价
                )"
[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,"
                霍乱时期的爱情

                
              ",8.9,义无反顾地直达爱情的核心,https://book.douban.com/subject/10594787/,"(
                    55094人评价
                )"
王小波 / 花城出版社 / 1999-3 / 19.00元,"
                黄金时代

                
                  ",8.7,能把性爱写得如此坦荡的，大概只有王二了,https://book.douban.com/subject/1089243/,"(
                    54831人评价
                )"
余华 / 上海文艺出版社 / 2005-8 / 16.00元,"
                兄弟（上）

                
              ",8.3,历史苦难中的个人灾变,https://book.douban.com/subject/1401425/,"(
                    57067人评价
                )"
今何在 / 光明日报出版社 / 2001-4 / 14.80元,"
                悟空传

                
                  ",8.4,猴子还是那个猴子，世界早已不是原来的世界,https://book.douban.com/subject/1003000/,"(
                    56006人评价
                )"
艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-1 / 27.30元,"
                呼啸山庄

                
              ",8.4,近乎暴虐的爱与恨，中文译名后无来者,https://book.douban.com/subject/1119522/,"(
                    55755人评价
                )"
金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,"
                笑傲江湖（全四册）

                
              ",8.9,武侠的壳，政治斗争的核,https://book.douban.com/subject/1002299/,"(
                    48764人评价
                )"
[美] 加布瑞埃拉·泽文 / 孙仲旭 / 江苏凤凰文艺出版社 / 2015-5 / CNY 35.00,"
                岛上书店

                
              ",7.6,爱书的人从不孤独,https://book.douban.com/subject/26340138/,"(
                    59985人评价
                )"
